"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GB53620",32.906141403987,0.487687863082126,0.891100807260485,0.547286972594523,0.584181592470946,0.770318527660867
"GB54861",20.571579043571,0.572576419951154,1.04731188412812,0.546710515395154,0.58457762878905,0.7706632211051
"GB51120",40.9255245067185,-0.438149301041434,0.801656328717941,-0.546555032805828,0.584684469464618,0.770710788019922
"GB45215",41.5926629510008,0.409847407553987,0.750253815840696,0.546278337944517,0.584874624242956,0.770790257023702
"GB51256",78.3407776017826,0.351449435392242,0.643372309652906,0.546261363940026,0.584886290332436,0.770790257023702
"GB52035",2.95054518286508,1.69332866572181,3.10202619410317,0.545878261421763,0.585149622215117,0.771043997721638
"GB53377",49.7275965418133,-0.42742290077005,0.783358424412666,-0.54562877917668,0.585321137595436,0.771176706264605
"GB45037",125.182485310734,0.340846536361832,0.624818195700129,0.545513140794343,0.585400645205332,0.771188174598026
"GB41301",173.709685526405,0.315220803641128,0.578247626934056,0.545131166923192,0.585663308436942,0.771230632315143
"GB52597",55.9282788015437,-0.41592727389953,0.763089739391713,-0.545056829398703,0.585714432780699,0.771230632315143
"GB42820",105.327372190447,-0.329019265824831,0.603644819734718,-0.545054401310732,0.585716102691045,0.771230632315143
"GB49955",114.214425016442,0.331022210276701,0.607133579157539,0.545221383959735,0.585601266016864,0.771230632315143
"GB51764",2.82866520800442,1.42056941335732,2.60729466176825,0.544844215035479,0.585860666057611,0.771327737785507
"GB47266",11.4016703549194,-0.749350467026305,1.37564208936444,-0.544727784079732,0.585940752869673,0.771339942017945
"GB50978",35.1015967867516,0.452282617210194,0.830491289349161,0.544596461167749,0.586031089181148,0.771365634243029
"GB48298",4.03154843640327,-1.16438587377629,2.13891443080047,-0.54438169989836,0.58617883620351,0.771466878193407
"GB51748",426.167392052771,0.253067440704364,0.465090598845523,0.544125040008429,0.58635543043141,0.771606058748208
"GB42225",33.6431553404083,-0.473716504018113,0.871376838439948,-0.543641376635879,0.586688280891999,0.771950803995609
"GB45510",4.02526532138768,1.25064654213938,2.30226867487538,0.543223541104332,0.58697590001447,0.772193546746912
"GB48081",4.10025088927248,1.15753806386358,2.1314931259873,0.54306441327481,0.587085453599998,0.772193546746912
"GB41389",102.214295991008,0.420573569063871,0.774429891703578,0.54307507182955,0.587078115286068,0.772193546746912
"GB40530",3.45209933962626,1.42056923018186,2.61763600461411,0.542691660596744,0.587342117000303,0.772437857808174
"GB50224",266.5118952066,0.256549443211642,0.472997923982449,0.542390209774286,0.587549722616683,0.772617599751408
"GB45008",96.9732099197769,-0.313251972172087,0.578115865828528,-0.541849810198773,0.587921974379353,0.772920476154485
"GB49412",84.3527759192831,0.348496146034618,0.643062545465746,0.541931960571915,0.587865378444061,0.772920476154485
"GB44986",6.7316930523353,-0.901352981787727,1.66438295474261,-0.54155384085096,0.588125897712472,0.773066081763092
"GB48136",67.9358630008974,0.388152123067051,0.716831535321512,0.541483045793958,0.588174680460039,0.773066081763092
"GB40270",4.80837321131854,1.25064366059145,2.31018860286584,0.541359982055142,0.58825948443718,0.773084254885348
"GB52058",145.256953088265,-0.285826707037709,0.528185314973434,-0.54114853051544,0.588405210183682,0.773182476694494
"GB55275",36.1695327026944,-0.556706157228146,1.02908304380328,-0.540973015327001,0.588526182393636,0.773237760528708
"GB47459",58.5880724500856,0.363542893323999,0.672386437082527,0.540675530133244,0.588731247527045,0.773237760528708
"GB44462",298.510875881009,-0.242055100330077,0.447543623476194,-0.540852528408222,0.588609233530322,0.773237760528708
"GB53005",81.3571808101851,-0.342175682052955,0.632824663405344,-0.540711672347986,0.588706331894297,0.773237760528708
"GB52763",47.4226790020449,-0.453895351045035,0.84109056499338,-0.539650984015743,0.589437749097891,0.774072337011602
"GB46783",15.4303583963636,0.71007963357963,1.31726405334745,0.539056411488012,0.589847930759156,0.774330922240416
"GB40509",72.5135886856587,0.338111648858148,0.627225764565447,0.539058928952636,0.589846193742016,0.774330922240416
"GB43743",104.464433533593,-0.309586474267753,0.574195306600414,-0.539165804229042,0.589772453395746,0.774330922240416
"GB49308",25.8563836812134,-0.526958588745948,0.978355992827606,-0.538616406102806,0.590151564832374,0.774636158611017
"GB53944",77.9192321378622,0.330376021440637,0.613854535767457,0.538199202238674,0.590439530754031,0.77492075779888
"GB47714",2.93665644337054,1.25064725412071,2.32433121171456,0.538067573079727,0.590530398348604,0.774946638411205
"GB53790",448.570287530308,-0.248350904603791,0.461727259607756,-0.53787360272982,0.590664313684872,0.775028997067296
"GB55424",9.76581853953972,0.736075090394797,1.36906659010925,0.537647398389918,0.590820500717698,0.775047199062648
"GB49584",36.6884484988256,0.445664752593518,0.828821297153017,0.537709098601069,0.590777896764335,0.775047199062648
"GB53917",9.87807955160572,-0.749350505203784,1.39482641297952,-0.537235671930733,0.591104833731578,0.775192294830062
"GB52184",21.1969821419317,1.05799453915007,1.97105379710129,0.536765937442193,0.591429303161753,0.775192294830062
"GB41489",136.277694241983,0.27999279717865,0.521557760450293,0.5368394805149,0.591378497828681,0.775192294830062
"GB47832",135.781386927906,-0.283687532001224,0.528469954054586,-0.536809197617925,0.591399417743317,0.775192294830062
"GB41968",69.0651603000542,0.358177270880568,0.667005863474171,0.536992687013219,0.591272665516621,0.775192294830062
"GB55994",12.2570685313189,0.683607799100069,1.27238068050109,0.537266723376255,0.591083387807994,0.775192294830062
"GB51303",32.680123168971,-0.486316728116191,0.9054932873379,-0.537073808184636,0.591216631985984,0.775192294830062
"GB40828",27.5397269894831,0.493505322316566,0.919781459224586,0.536546282127291,0.591581058305129,0.775204630300705
"GB53972",26.6810849969574,0.523667197350965,0.975841803648783,0.536631240220407,0.591522360460333,0.775204630300705
"GB49116",51.9883591339546,0.405926942072582,0.7567420924978,0.536413853672031,0.591672558925703,0.775231265706575
"GB53378",134.904530113631,-0.315840904565925,0.589728930257923,-0.535569629300345,0.592256023276978,0.775902406246433
"GB55561",10.5712858333415,-0.749350592891137,1.40004457210814,-0.535233383150647,0.592488484804358,0.776113599096701
"GB48709",129.63578308312,0.341796554019128,0.639427357083873,0.534535393633925,0.592971168740056,0.776652473534955
"GB54844",39.9694178410704,-0.446788182230607,0.836553926207311,-0.534081746835154,0.59328497780769,0.776787925001573
"GB40722",77.2212081393416,0.330819144375341,0.619655388721373,0.533876006562243,0.593427323206183,0.776787925001573
"GB48608",261.847272708277,0.248562524359649,0.465432086512391,0.534046817060241,0.593309143547832,0.776787925001573
"GB47884",35.6775697650573,0.449428612037391,0.841883832357007,0.533836848700531,0.593454417103654,0.776787925001573
"GB40575",270.348124538633,0.259210833072785,0.485620981667331,0.533771897957973,0.593499358721603,0.776787925001573
"GB47324",2.95153798251732,1.25064682992524,2.34305596625891,0.533767373863508,0.593502489153791,0.776787925001573
