"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GB55885",480.539202028833,-1.24234075022544,0.545969575176591,-2.27547615601769,0.0228773814548612,0.0768471267190984
"GB43278",105.438782398954,1.17447546099036,0.516259086558027,2.27497295751393,0.0229075521179546,0.0769173453449555
"GB45638",118.712973298043,1.07992473109361,0.474853180586965,2.27422869898169,0.0229522395698416,0.0770430898711428
"GB42684",30.1521512445674,1.59456670973689,0.701274332031835,2.27381302423672,0.0229772308339779,0.0771026623571441
"GB47719",108.210777197832,1.18102533652847,0.519636698948212,2.27279046864658,0.0230388096962722,0.0772447165851803
"GB45859",18.3610646905979,-3.85797393880065,1.69749262124459,-2.27274857664595,0.0230413355090142,0.0772447165851803
"GB40973",109.038520191872,-1.64609721968507,0.724255664609099,-2.27281235083403,0.0230374904395739,0.0772447165851803
"GB55366",6.3589810630613,3.35941756242023,1.47873481072972,2.27181881297732,0.0230974560916178,0.0773841116270631
"GB41115",84.8454036420225,-1.35957563767099,0.598448227469507,-2.27183501473444,0.0230964771374128,0.0773841116270631
"GB51581",27.1916672369654,1.6882117311207,0.743386579253664,2.27097418521546,0.0231485407259875,0.0775308582402174
"GB55139",1076.68457611243,-0.879618424842167,0.387374946894142,-2.27071583202447,0.0231641859819617,0.0775588535992452
"GB46308",149.614051207546,0.985416524730563,0.434108439971045,2.26997780737986,0.0232089295909492,0.0775866352280351
"GB51902",8.52557116245245,-3.62037316281099,1.59480945591632,-2.27009762788925,0.0232016602335414,0.0775866352280351
"GB50892",81.5081644768019,1.14998080418584,0.506505826893147,2.27041969337194,0.023182130729312,0.0775866352280351
"GB53864",3.50981252733925,-6.17429122642976,2.7196598653134,-2.27024390262062,0.0231927886121504,0.0775866352280351
"GB54203",1680.87665317456,-0.838716899513308,0.369475160782864,-2.27002242244428,0.0232062226208734,0.0775866352280351
"GB51359",1523.81847342544,-0.796886443240851,0.351107721233717,-2.26963520039025,0.0232297260320776,0.0776317751602618
"GB44532",1187.81570944267,-0.777125829505464,0.342583987387862,-2.26842426416629,0.0233033602633236,0.0778045692104192
"GB43913",11.1978090312118,-2.7595490402869,1.21647563249591,-2.26847868265555,0.023300046857611,0.0778045692104192
"GB51985",8.9178871120466,-3.41752309823263,1.5064514831559,-2.26859154539327,0.0232931762315099,0.0778045692104192
"GB46311",5.69394512218099,-5.76002141576764,2.53984232487292,-2.26786574873534,0.0233373905211006,0.0778937550036358
"GB49461",5.29010223695208,3.81756211440317,1.6837330754917,2.26732025994579,0.0233706687014124,0.0779803754413271
"GB41368",89.6070223874689,1.27361938895807,0.561798526556631,2.2670393900182,0.0233878195585729,0.0780131467820275
"GB43124",47.2378023172666,1.34456266386262,0.593137317328366,2.26686574016091,0.0233984286640936,0.0780240835528235
"GB51999",164.554743683519,1.00439810284838,0.443186375271268,2.26631087707425,0.0234323559238094,0.0781127455224014
"GB50305",43.7405921564193,1.63322497140698,0.720845891292193,2.26570615319628,0.0234693805538819,0.0782116739560171
"GB51335",466.347310768472,-0.870772755676174,0.384513538529183,-2.26460883277868,0.0235366944114962,0.0784114476732286
"GB43812",9.58503522833587,2.69686550220259,1.19135111861754,2.26370333653782,0.023592367146305,0.0785723266286827
"GB41745",107.775433013261,1.05369180556316,0.466080332207184,2.26075149014176,0.023774650043047,0.0791546371780396
"GB40155",13.0902369774301,-3.97543132194586,1.75875625592733,-2.2603651350481,0.0237985984931754,0.0792095942343213
"GB50939",27.6245795006934,-1.90811701391486,0.844228217592387,-2.26019099356394,0.0238093995964576,0.0792207718989356
"GB40426",58.2536852886278,-1.38221027636512,0.611699656917412,-2.2596224482626,0.023844693156238,0.0792967244833063
"GB43711",27.9350182062077,1.612729527677,0.71372874158583,2.25958327542434,0.0238471265568455,0.0792967244833063
"GB48847",49.7806513361922,1.31942870588721,0.584052859142302,2.25909125387183,0.0238777090820017,0.0793736213206827
"GB41890",36.2873856555287,1.57250407867414,0.696225487919716,2.25861320212895,0.0239074558642907,0.0794296336344874
"GB55787",75.0175653102868,1.20607957082051,0.533998899566587,2.25858062965937,0.0239094838561535,0.0794296336344874
"GB53146",89.9569708881013,1.08437484483281,0.480251983539915,2.25792892481138,0.0239500909660857,0.0795148996391191
"GB53856",21.8887115224948,-3.93090335037922,1.74086202366982,-2.25802119693133,0.0239443379457202,0.0795148996391191
"GB43087",862.375682134651,-1.01426069405589,0.449395825392558,-2.25694284803361,0.0240116461851013,0.0796944066087367
"GB49063",6.50682045445888,3.35190200107697,1.48529893376623,2.25671878224382,0.0240256524637638,0.0797061736011312
"GB44321",343.298798334358,0.866073087005123,0.383787652251955,2.25664656463869,0.0240301682718931,0.0797061736011312
"GB51828",91.8071436106704,-1.17921676182457,0.522809215687879,-2.25553935630808,0.0240994948421557,0.079861464227866
"GB47993",13.233047580148,-5.21905860209106,2.313780361224,-2.25564132601167,0.0240931028850291,0.079861464227866
"GB54395",406.289787328712,-0.859454789826186,0.381012977623964,-2.25571001593131,0.0240887978953516,0.079861464227866
"GB46411",37.5265500019742,-1.64819743962998,0.730978399021664,-2.25478268829273,0.0241469724283835,0.0799938918542528
"GB49466",34.1030062153286,1.66033957196977,0.736568731266636,2.2541542988318,0.0241864627158701,0.0800997850490732
"GB44064",39.3962400672243,1.73026037090339,0.767647921167939,2.25397649520223,0.0241976467024142,0.0801118978228605
"GB53788",147.298813261481,1.07833052247524,0.478500305495765,2.25356287151792,0.0242236813010194,0.0801731541567321
"GB53832",173.275365694106,-1.07186277713115,0.475882724023209,-2.25236749102679,0.0242990583359662,0.0803976303786211
"GB48150",528.768284812734,-0.859895859140291,0.38186269240932,-2.25184569279307,0.0243320250250718,0.0804731919550341
"GB53371",800.416990493792,-2.385085130244,1.05920612863989,-2.25176673902619,0.0243370166199976,0.0804731919550341
"GB55350",983.755331922545,-0.898568120296701,0.399375770754479,-2.24993148332252,0.0244532950363359,0.0808074735693138
"GB48247",991.86049212691,-0.780390181692426,0.346849970181741,-2.24993584771976,0.0244530179460859,0.0808074735693138
"GB43020",7.97734583608913,-3.28157347448326,1.45926261521046,-2.24878883367404,0.0245259341407004,0.0810223597124815
"GB55031",25.2060506784735,-2.00189889361507,0.890550402723045,-2.24793440943246,0.0245803726405027,0.0811770047736613
"GB40708",1221.39675151888,-0.863781999041781,0.384412355722589,-2.24701934311687,0.0246387909390887,0.0813446931624257
"GB55359",347.020896147328,-0.888172852778531,0.395338842307725,-2.24661165999771,0.0246648563434141,0.0814054979594729
"GB47493",33.6049231797858,-1.88112736098092,0.837844247210201,-2.24519935208074,0.0247553376867265,0.0816788017165274
"GB42152",705.453602453381,0.804787107254203,0.358653572592622,2.24391214462633,0.0248380545970672,0.0819263257301468
"GB43091",75.1306705098228,-1.33932862690719,0.597020155662239,-2.24335579662558,0.0248738799563101,0.0819936755202739
"GB44506",63.8361093862375,-1.37624223279768,0.613463664520967,-2.24339649174225,0.0248712579272013,0.0819936755202739
"GB52434",62.7821564556381,1.38089942726737,0.615922314896801,2.24200259329578,0.0249612047009681,0.0822560566059148
"GB45169",1700.2954622058,-0.784604300816369,0.35000618998617,-2.2416869280151,0.0249816133159033,0.0822738700757323
"GB41946",143.148983006811,-1.31629782221401,0.587192594882879,-2.24167987417579,0.0249820695306996,0.0822738700757323
"GB46169",379.574658496732,0.869901727542825,0.388086949850981,2.24151244425213,0.0249929003626713,0.0822840802537189
"GB53639",8.98459375832483,-4.1162094834228,1.83690823789671,-2.24083565988899,0.0250367221386462,0.0824028665565091
"GB45397",94.0213485736115,1.13234061742998,0.505640316689815,2.23941916823974,0.0251286553170613,0.0826592955792105
"GB40540",164.848515191128,0.994257035184153,0.443984477256239,2.23939593863398,0.0251301653978134,0.0826592955792105
"GB55729",2476.98432009351,-2.26744815278473,1.01262509222325,-2.23917831999054,0.0251443158901897,0.0826802898780287
"GB51629",168.788080170908,0.989850938198267,0.44231184188451,2.2379028650486,0.0252273901694321,0.0829278384692513
"GB42884",30.773601136376,-1.62650292283979,0.72690502752506,-2.23757280696991,0.0252489265147803,0.082973008281359
"GB41371",27.9747285866106,-2.06194071097765,0.921563964366024,-2.23743634810649,0.0252578351271031,0.0829766657694091
"GB43960",45.9525260742398,-1.52532915161968,0.681787477526329,-2.23725017237615,0.0252699938547345,0.0829909949366842
"GB50722",4.87528730640582,-5.90580577306349,2.64021664696911,-2.23686407698519,0.0252952250427378,0.0830482342242139
"GB40774",39.5617285196192,1.44961284883825,0.648183290737282,2.2364242792951,0.0253239922158839,0.0831169684054137
"GB49172",821.629275087809,0.785062546928258,0.351053382125336,2.23630532249927,0.0253317780446413,0.0831169684054137
"GB42897",4.47849292895868,-5.84124025431515,2.61241267885313,-2.23595617246794,0.0253546421910993,0.0831663517664287
"GB51608",18.7098064586472,2.0998773267612,0.939327289213636,2.23551189332434,0.0253837617016152,0.0832362167442982
"GB46524",21.9957189198117,1.87577489707257,0.83928989267928,2.2349547080622,0.0254203223520201,0.083330431510595
"GB46616",77.0781836363773,1.20098938080919,0.537871748498865,2.23285454973422,0.0255585376293536,0.0837577199897907
"GB46894",68.0629417357278,1.2158534014905,0.544560528374924,2.23272407406914,0.0255671458817953,0.0837601418177373
"GB44021",668.169736682578,-0.89470182642101,0.400951250453638,-2.23144790148114,0.0256514748721514,0.0840105533966707
"GB41211",98.9934091999976,1.12060008387237,0.502222392071522,2.23128259823347,0.0256624156277766,0.0840205327413271
"GB48081",4.10025088927248,4.91097282251552,2.20126944112189,2.23097306071383,0.025682913524436,0.0840484474829657
"GB43621",15.0064255246073,-5.15388192975653,2.31033291548025,-2.23079621781919,0.0256946306002979,0.0840484474829657
"GB46173",31.4342360556642,1.55287093241306,0.696097186905386,2.23082489288113,0.0256927303633199,0.0840484474829657
"GB50947",151.04188702057,1.01004812248382,0.452923109546669,2.23006532719158,0.0257431062618678,0.0841811437945686
"GB45147",1371.36192151551,-1.04320937018547,0.46790223875181,-2.2295455840698,0.0257776258591529,0.0842602549054932
"GB41782",66.6228537186969,-1.31618854251617,0.590361307762185,-2.22946274630582,0.0257831313629454,0.0842602549054932
"GB53908",36.2766950106113,-1.56147477717199,0.700557900180254,-2.22890181778011,0.0258204381537187,0.0843303908279173
"GB44200",18.8884821696324,-2.20295787361972,0.988314048136214,-2.22900592961733,0.0258135102543714,0.0843303908279173
"GB45283",29.5683966578433,-1.63526192952856,0.733747168765119,-2.22864495992629,0.0258375370870413,0.0843603511516772
"GB49105",113.092180415754,1.10129858523672,0.494282772011288,2.22807398436208,0.0258755818008317,0.0844494530042419
"GB55949",56.9935068935727,-1.57085458954402,0.705052284914414,-2.22799730339815,0.0258806948233594,0.0844494530042419
"GB44053",19.4784559011013,1.9947200888626,0.89543832529539,2.22764654193751,0.0259040944437877,0.0844999023167871
"GB52719",13.9983731095032,-2.84067634216412,1.27529763671948,-2.22746146497327,0.0259164484697073,0.0845143007081998
"GB40747",103.40729229117,-1.0834884567157,0.486481805287902,-2.227192147658,0.0259344347021934,0.0845470514456805
"GB53438",109.350372575043,1.0694252353842,0.480278040745668,2.22667943286318,0.0259687059559128,0.0845944821692871
"GB50225",123.230878138951,1.2490372767327,0.560957189681222,2.22661782344298,0.0259728267314196,0.0845944821692871
"GB49992",40.8305885357266,1.43897883255428,0.646258049125767,2.22663196922788,0.0259718805338405,0.0845944821692871
"GB49270",30.9536171882258,-2.13184333964205,0.958291912474569,-2.22462833286056,0.0261061989896503,0.0849768752433755
"GB53503",885.188984904376,-0.853351727304946,0.383585188768912,-2.22467329889278,0.0261031780123552,0.0849768752433755
"GB55566",60.6267410567642,1.21282384281623,0.545279528347877,2.22422405347019,0.0261333734868109,0.0850133335555058
"GB49062",9.28039823003259,2.88434114947093,1.29677281455507,2.22424554023409,0.0261319285934141,0.0850133335555058
"GB41141",90.5301675080582,1.11935790415595,0.503290953851827,2.22407713786466,0.0261432547862439,0.0850194940252917
"GB49117",1149.37606873815,-0.900031431164013,0.404802604079845,-2.22338350122492,0.0261899512625936,0.0851453394132702
"GB40271",20.1372967502136,1.87105020815837,0.841649499391308,2.22307529382663,0.0262107232872584,0.0851868515021613
"GB50283",94.6966731346567,1.21362181203255,0.546013345514677,2.22269624360294,0.0262362893759591,0.0852439145658453
"GB43622",66.252552124474,1.21822450060499,0.548157196689022,2.22239990273466,0.0262562919119845,0.0852828718679167
"GB43167",89.6043201951029,1.24263624015581,0.55925187726392,2.22196167894023,0.0262858954733758,0.0853529809086676
"GB49098",40.1341847071871,-1.5795731949387,0.711242734788036,-2.22086373284283,0.026360192294708,0.0855681264973686
"GB41147",488.040264819516,-0.797040996491616,0.358929918436318,-2.22060339791103,0.026377835467105,0.085576057895167
"GB54112",73.4447147730802,-1.2129057349349,0.546208667998742,-2.22059041900392,0.0263787153282641,0.085576057895167
"GB45250",398.999425065726,-0.895812787369944,0.403447642093633,-2.22039415752005,0.0263920233038552,0.0855931432194501
"GB47065",140.75485224379,-1.04370305736786,0.470088229049752,-2.22022801863732,0.0264032932784013,0.0856036106169064
"GB44657",85.2520394161512,-1.17835580631489,0.531039930665177,-2.21895894879108,0.0264895174715229,0.0858570109521589
"GB46070",172.567954924186,0.970711944755847,0.437673425456506,2.21789098514118,0.0265622663252755,0.0860665944493857
"GB44133",3508.00991226298,-0.724631281509655,0.326757160158781,-2.21764469111415,0.0265790681520892,0.0860686344419951
"GB53471",53.0507597614852,-1.54939533257542,0.698649016190699,-2.21770201727802,0.0265751566235571,0.0860686344419951
"GB44656",149.248386470844,0.975748769191645,0.440069872148176,2.21725873763769,0.0266054158117538,0.0861277511862249
